Team,r,g,b
ANA,255,76,2
ARI,140,38,51
BOS,255,184,28
BUF,4,30,66
CGY,200,16,46
CAR,226,24,54
CHI,200,16,46
COL,111,38,61
CBJ,4,30,66
DAL,0,99,65
DET,200,16,46
EDM,252,76,2
FLA,185,151,91
LAK,162,170,173
MIN,21,71,52
MTL,165,25,46
NSH,238,173,30
NJD,200,16,46
NYI,0,83,155
NYR,0,56,168
OTT,200,16,46
PHI,250,70,22
PIT,252,181,20
STL,0,48,135
SJS,0,98,114
TBL,0,32,91
TOR,0,32,91
VAN,10,134,61
VGK,185,151,91
WSH,4,30,66
WPG,0,76,151
