City,Pr/St,Cntry,lat,lng
St. Thomas,ON,CAN,42.32084,-82.87795
Chambersburg,PA,USA,39.937306,-77.659708
Kindersley,SK,CAN,51.47496,-109.1611
Zhukovskiy,,RUS,55.8476,38.41255
Perth,ON,CAN,44.8972,-76.24621
Charlotte,NC,USA,35.222936,-80.840161
Staten Island,NY,USA,40.643498,-74.076203
Provost,AB,CAN,52.82493,-110.88949
St. Louis,MO,USA,38.630276,-90.200309
Ham Lake,MN,USA,45.257006,-93.204099
Detroit,MI,USA,42.332916,-83.047853
Norrkoping,,SWE,58.58282,16.23408
Canton,MA,USA,42.158931,-71.144957
Newmarket,ON,CAN,45.41001,-75.62232
Scottsdale,AZ,USA,33.494909,-111.926061
Fullerton,CA,USA,33.870345,-117.924302
St. Paul,AB,CAN,53.99872,-111.26709
Vantaa,,FIN,60.29441,25.04007
Shaunavon,SK,CAN,49.62641,-108.49701
Carmel,IN,USA,39.978386,-86.127067
Berlin,,DEU,52.517037,13.38886
Winnetka,IL,USA,42.107106,-87.734719
Olten,,CHE,47.3501,7.90259
Caledonia,ON,CAN,43.07077,-79.95335
Hinsdale,IL,USA,41.803685,-87.927236
Winchester,ON,CAN,42.98811,-82.36089
Farmingville,NY,USA,40.83191,-73.03413
Plantation,FL,USA,26.128276,-80.242374
Orillia,ON,CAN,44.45528,-79.49506
Fribourg,,CHE,46.83034,7.03337
Cologne,,DEU,50.938361,6.959974
Excelsior,MN,USA,44.90353,-93.566226
Kalajoki,,FIN,64.25787,23.94758
Salem,NJ,USA,39.571905,-75.467091
Ajax,ON,CAN,43.60463,-79.70116
Dauphin,MB,CAN,51.15268,-100.04626
Waterford,MI,USA,42.659169,-83.383103
Vienna,,AUT,48.18933,16.40237
Woodbridge,ON,CAN,43.22984,-79.80633
Rochester,NY,USA,43.155708,-77.612547
Welland,ON,CAN,42.96063,-79.2334
Savonlinna,,FIN,61.86835,28.88626
Molnlycke,,SWE,57.66161,12.1288
E. Weymouth,MA,USA,42.213902,-70.920799
Kadan,,CZE,9.54804,5.34873
Trencin,,SVK,48.90253,18.09052
Ile Bizard,QC,CAN,45.5201,-73.86915
Nizhnekamsk,,ROU,49.29257,1.68688
Hamilton,ON,CAN,43.25653,-79.87442
Boden,,SWE,57.61736,13.009
Moncton,NB,CAN,46.0387,-64.07865
Lloydminster,SK,CAN,53.42437,-109.91323
Meadow Lake,SK,CAN,54.12039,-108.45648
Eden Prairie,MN,USA,44.854033,-93.46017
Oulunsalo,,FIN,64.93499,25.40213
Brantford,ON,CAN,42.9398,-80.42417
East Palestine,OH,USA,40.832654,-80.539842
Thunder Bay,ON,CAN,48.38251,-89.24549
Skokie,IL,USA,42.026307,-87.754692
Thornhill,ON,CAN,43.53348,-80.29799
Morristown,NJ,USA,40.79664,-74.481595
Cobourg,ON,CAN,43.97003,-78.17098
Hancock,MI,USA,47.130692,-88.591217
Kitchener,ON,CAN,43.69917,-80.38436
Hartford,CT,USA,41.765775,-72.673356
Battleford,SK,CAN,50.30197,-107.80977
Ruse,,BGR,43.60164,26.23825
Cambridge,ON,CAN,43.39779,-80.30722
Brno,,CZE,49.19205,16.61319
New Haven,CT,USA,41.308252,-72.924161
Martin,,SVK,48.25932,17.37086
Chelyabinsk,,RUS,54.07885,42.805
