Born,City,Pr/St,Cntry,Nat,LN,FN,Position,Team
1994/09/13,Hamilton,ON,CA,CA,Jankowski,Mark,C,CGY
1994/08/22,Jyväskylä,,FI,FI,Maatta,Olli,D,PIT
1994/02/27,Pointe-Claire,QC,CA,CA,Matheson,Mike,D,FLA
1993/10/08,Madison,WI,US,US,Schmaltz,Jordan,D,STL
1994/01/05,Riga,,LV,LV,Girgensons,Zemgus,C,BUF
1993/12/21,Ottawa,ON,CA,CA,Ceci,Cody,D,OTT
1994/03/29,Toronto,ON,CA,CA,Wilson,Tom,RW,WSH
1993/11/12,Praha,,CZ,CZ,Hertl,Tomas,C,SJS
1994/09/11,Helsinki,,FI,FI,Teravainen,Teuvo,LW,CAR
1994/01/16,Estevan,SK,CA,CA,Pouliot,Derrick,D,VAN
1994/02/26,Rochester,MI,US,US,Trouba,Jacob,D,WPG
1994/02/18,Winchester,ON,CA,CA,Koekkoek,Slater,D,TBL
1994/08/13,Ostervala,,SE,SE,Forsberg,Filip,LW,NSH
1994/01/09,Vitkov,,CZ,CZ,Faksa,Radek,C,DAL
1994/05/15,Ann Arbor,MI,US,US,Sieloff,Patrick,D,OTT
1994/01/05,Charlestown,MA,US,US,Grzelcyk,Matt,D,BOS
1993/05/12,St. Albert,AB,CA,CA,Parayko,Colton,D,STL
1994/05/19,Winnipeg,MB,CA,CA,Leipsic,Brendan,LW,"VGK, VAN"
1994/03/23,Boden,,SE,SE,Sundqvist,Oskar,C,STL
1985/02/04,Belleville,ON,CA,CA,Richardson,Brad,C,ARI
1994/05/23,Vantaa,,FI,FI,Lindell,Esa,D,DAL
1985/06/21,Ottawa,ON,CA,CA,Methot,Marc,D,DAL
1994/04/22,Saskatoon,SK,CA,CA,Stephenson,Chandler,C,WSH
1993/04/20,Pembroke Pines,FL,US,US,Gostisbehere,Shayne,D,PHI
1994/07/19,Ajax,ON,CA,CA,Shore,Devin,C,DAL
1994/08/13,Surrey,BC,CA,CA,Khaira,Jujhar,LW,EDM
1994/08/16,Toronto,ON,CA,CA,Pelech,Adam,D,NYI
1993/05/26,Boston,MA,US,US,Vesey,Jimmy,LW,NYR
1984/10/05,Anchorage,AK,US,US,Thompson,Nate,C,"OTT, LAK"
1992/07/25,Brandon,MB,CA,CA,Martinook,Jordan,LW,ARI
1994/01/23,Syracuse,NY,US,US,Nieves,Boo,C,NYR
1994/08/07,Melville,SK,CA,CA,Severson,Damon,D,NJD
1993/10/05,Pelhrimov,,CZ,CZ,Frk,Martin,RW,DET
1993/11/05,North Vancouver,BC,CA,CA,Sissons,Colton,C,NSH
1993/10/12,Eau Claire,WI,US,US,McCabe,Jake,D,BUF
1989/11/24,Kitchener,ON,CA,CA,Hoffman,Mike,LW,OTT
1994/02/02,Fergus,ON,CA,CA,McGinn,Brock,LW,CAR
1992/04/20,Swan River,MB,CA,CA,Ferland,Micheal,LW,CGY
1984/07/11,Plover,WI,US,US,Pavelski,Joe,C,SJS
1994/04/13,Orland Park,IL,US,US,Carrick,Connor,D,TOR
1984/05/25,St. Paul,AB,CA,CA,Brodziak,Kyle,C,STL
1994/06/23,Alma,QC,CA,CA,Hudon,Charles,LW,MTL
1994/03/09,Duluth,MN,US,US,Toninato,Dominic,C,COL
1994/07/04,Stouffville,ON,CA,CA,Carrick,Trevor,D,CAR
1994/02/15,Saskatoon,SK,CA,CA,Leier,Taylor,LW,PHI
1994/05/01,Denver,CO,US,US,Slavin,Jaccob,D,CAR
1994/08/06,London,ON,CA,CA,Athanasiou,Andreas,LW,DET
1979/09/15,Aneroid,SK,CA,CA,Marleau,Patrick,LW/C,TOR
1994/04/16,Toronto,ON,CA,CA,Smith,Gemel,C,DAL
1994/01/06,Edmonton,AB,CA,CA,Kulak,Brett,D,CGY
1994/10/06,Omaha,NE,US,US,Guentzel,Jake,C,PIT
1993/05/20,Greenfield Park,QC,CA,CA,Roy,Kevin,LW,ANA
1984/11/05,Nordingra,,SE,SE,Enstrom,Toby,D,WPG
1993/08/13,Gaspe,QC,CA,CA,Paquette,Cedric,C,TBL
1985/03/27,Roseau,MN,US,US,Byfuglien,Dustin,D,WPG
1992/03/14,Nynashamn,,SE,SE,Gustafsson,Erik,D,CHI
1985/10/12,Malmö,,SE,SE,Soderberg,Carl,C,COL
1994/01/30,Berlin,,DE,US,O'Regan,Danny,C,"SJS, BUF"
1992/09/06,Grand Forks,ND,US,US,LaDue,Paul,D,LAK
1987/01/20,Winnipeg,MB,CA,CA,Reaves,Ryan,RW,"PIT, VGK"
1994/04/03,Chicago,IL,US,US,Hinostroza,Vinnie,LW,CHI
1983/11/01,North York,ON,CA,CA,Moulson,Matt,LW,BUF
1983/11/29,Regina,SK,CA,CA,Glass,Tanner,LW,CGY
1996/05/31,Stratford,ON,CA,CA,McCann,Jared,C,FLA
1982/07/20,St. Agapit,QC,CA,CA,Vermette,Antoine,C,ANA
1984/11/24,Detroit,MI,US,US,Booth,David,LW,DET
1994/04/05,Fribourg,,CH,CH,Bertschy,Christoph,C,MIN
1994/03/24,Cambridge,ON,CA,CA,Dotchin,Jake,D,TBL
1994/07/18,Markham,ON,CA,CA,Blandisi,Joseph,LW/C,ANA
1994/01/14,Toronto,ON,CA,CA,Brown,Connor,RW,TOR
1993/04/20,Brockville,ON,CA,CA,Hutton,Ben,D,VAN
1994/08/11,Vancouver,BC,CA,CA,Kerfoot,Alexander,C,COL
1993/03/21,Zurich,,CH,CH,Andrighetto,Sven,RW,COL
1988/09/24,Ann Arbor,MI,US,US,Kampfer,Steven,D,NYR
1984/03/02,Karlskrona,,SE,SE,Ericsson,Jonathan,D,DET
1992/12/10,Plantation,FL,US,US,Megna,Jaycob,D,ANA
1993/03/29,St. Louis,MO,US,US,Lowry,Adam,C,WPG
1994/08/06,Gothenburg,,SE,SE,Djoos,Christian,D,WSH
1993/06/17,Rumson,NJ,US,US,Ryan,Joakim,D,SJS
1986/04/29,Anchorage,AK,US,US,Dubinsky,Brandon,C,CBJ
1976/11/02,Virginia,MN,US,US,Cullen,Matt,C,MIN
1994/01/11,Lewisville,TX,US,US,Kerdiles,Nicolas,LW,ANA
1993/04/19,Chambersburg,PA,US,US,Fogarty,Steven,C,NYR
1994/07/29,Halifax,NS,CA,CA,O'Brien,Liam,C,WSH
1993/03/29,Greenwich,CT,US,US,Lowe,Keegan,D,EDM
1994/03/25,Sauble Beach,ON,CA,CA,MacDermid,Kurtis,D,LAK
1995/06/06,Karlstad,,SE,SE,Ejdsell,Victor,C,CHI
1991/11/28,Plano,TX,US,US,Coleman,Blake,C,NJD
1994/05/27,Flin Flon,MB,CA,CA,Sautner,Ashton,D,VAN
1992/10/05,Glace Bay,NS,CA,CA,Shaw,Logan,RW,"ANA, MTL"
1984/03/01,Winnipeg,MB,CA,SE,Steen,Alexander,LW,STL
