Born,City,Pr/St,Cntry,Nat,LN,FN,Position,Team
1994/10/06,Dauphin,MB,CA,CA,Pulock,Ryan,D,NYI
1995/04/16,Moscow,,RU,RU,Zadorov,Nikita,D,COL
1995/02/02,Salmon Arm,BC,CA,CA,Lazar,Curtis,RW/C,CGY
1995/03/21,Winterthur,,CH,CH,Mueller,Mirco,D,NJD
1990/06/05,Prague,,CZ,CZ,Gudas,Radko,D,PHI
1994/09/16,Longueuil,QC,CA,CA,Mantha,Anthony,RW,DET
1995/04/26,Laval,QC,CA,CA,Gauthier,Frederik,C,TOR
1988/05/11,Halifax,NS,CA,CA,Marchand,Brad,LW,BOS
1987/10/31,Buffalo,NY,US,US,Foligno,Nick,LW,CBJ
1994/02/08,Laval,QC,CA,CA,Dea,Jean-Sebastien,C,PIT
1994/02/18,Charlottetown,PE,CA,CA,Johnston,Ross,LW,NYI
1986/12/20,Kindersley,SK,CA,CA,Dorsett,Derek,RW,VAN
1994/12/26,Battleford,SK,CA,CA,Cave,Colby,C,BOS
1991/11/14,Calgary,AB,CA,CA,Hall,Taylor,LW,NJD
1996/08/26,Bonney Lake,WA,US,US,Gambrell,Dylan,C,SJS
1988/04/28,Boston,MA,US,US,O'Neill,Will,D,PHI
1994/01/05,Alton,IL,US,US,Mermis,Dakota,D,ARI
1988/03/21,Bloomington,MN,US,US,Johnson,Erik,D,COL
1988/04/16,St. Paul,MN,US,US,Okposo,Kyle,RW,BUF
1996/01/26,Elk River,MN,US,US,Hillman,Blake,D,CHI
1987/01/08,Salt Lake City,UT,US,US,Lewis,Trevor,C,LAK
1994/05/07,Burlington,ON,CA,CA,Anderson,Josh,RW,CBJ
1987/06/14,Toronto,ON,CA,CA,Cogliano,Andrew,LW,ANA
1987/01/23,Narva,,EST,FI,Komarov,Leo,C,TOR
1988/08/05,Fergus,ON,CA,CA,McGinn,Jamie,LW,FLA
1990/11/13,New Westminster,BC,CA,CA,Dillon,Brenden,D,SJS
1988/04/14,Saskatoon,SK,CA,CA,Gryba,Eric,D,EDM
1996/08/13,Laval,QC,CA,CA,Fiore,Giovanni,LW,ANA
1988/06/07,Vancouver,BC,CA,CA,Lucic,Milan,LW,EDM
1985/08/17,Vancouver,BC,CA,CA,Brouwer,Troy,RW,CGY
1992/02/26,Oulu,,FI,FI,Granlund,Mikael,RW,MIN
1999/04/22,Vihti,,FI,FI,Tolvanen,Eeli,RW,NSH
1995/01/13,Moscow,,RU,RU,Mamin,Maxim,LW/C,FLA
1985/05/21,Warren,MI,US,US,Hunwick,Matt,D,PIT
1987/10/30,Toronto,ON,CA,CA,Stewart,Chris,RW,"MIN, CGY"
1993/02/08,Medicine Hat,AB,CA,CA,Valk,Curtis,LW/C,FLA
1988/06/07,Windsor,ON,CA,CA,Beleskey,Matt,LW,"BOS, NYR"
1990/07/14,Burlington,ON,CA,CA,Jooris,Josh,RW,"CAR, PIT"
1987/11/12,Edmonton,AB,CA,CA,Little,Bryan,C,WPG
1994/12/09,Richmond Hill,ON,CA,CA,Lomberg,Ryan,LW,CGY
1996/10/03,Braintree,MA,US,US,Gaudette,Adam,C,VAN
1987/11/18,Welland,ON,CA,CA,Clutterbuck,Cal,RW,NYI
1990/10/29,Lipetsk,,RU,RU,Kulikov,Dmitry,D,WPG
1987/03/12,Cherepovets,,RU,RU,Shipachyov,Vadim,LW/C,VGK
1987/09/03,Whitby,ON,CA,CA,Neal,James,LW,VGK
1994/10/07,Torrance,CA,US,US,Rychel,Kerby,LW,MTL
1988/01/12,Hearst,ON,CA,CA,Giroux,Claude,C,PHI
1980/06/05,Peterborough,ON,CA,CA,Fisher,Mike,C,NSH
1988/04/04,Montreal,QC,CA,CA,Biega,Alex,D,VAN
1985/03/06,Toronto,ON,CA,CA,Winnik,Daniel,LW,MIN
1988/09/10,Thunder Bay,ON,CA,CA,Staal,Jordan,C,CAR
1986/12/06,Virginia,MN,US,US,Niskanen,Matt,D,WSH
1991/01/14,Toronto,ON,CA,CA,Holland,Peter,C,NYR
1985/07/15,Prince Albert,SK,CA,CA,Cracknell,Adam,RW,"DAL, NYR"
1992/01/31,Brampton,ON,CA,CA,Seguin,Tyler,C,DAL
1980/06/04,Sorel,QC,CA,CA,Beauchemin,Francois,D,ANA
1987/10/05,Villach,,AT,AT,Grabner,Michael,RW,"NYR, NJD"
1979/01/18,Rochester,NY,US,US,Gionta,Brian,RW,BOS
1987/10/02,Madison,WI,US,US,Kessel,Phil,RW,PIT
1983/06/13,Toronto,ON,CA,CA,Spezza,Jason,C,DAL
1986/03/15,Rødovre,,DK,DK,Hansen,Jannik,RW,SJS
1983/03/12,Turku,,FI,FI,Koivu,Mikko,C,MIN
1988/02/16,Munich,,DE,DE,Holzer,Korbinian,D,ANA
1982/12/13,Smithers,BC,CA,CA,Hamhuis,Dan,D,DAL
1983/08/13,Pardubice,,CZ,CZ,Hemsky,Ales,RW,MTL
1987/11/23,Gävle,,SE,SE,Backstrom,Nicklas,C,WSH
1988/02/17,Kladno,,CZ,CZ,Frolik,Michael,RW,CGY
1986/05/07,Elk River,MN,US,US,Prosser,Nate,D,"STL, MIN"
1988/05/24,Yaroslavl,,RU,RU,Anisimov,Artem,C,CHI
1988/02/19,Mississauga,ON,CA,CA,Matthias,Shawn,LW,WPG
1987/11/29,Victoria,BC,CA,CA,Irwin,Matt,D,NSH
1986/07/14,Magnitogorsk,,RU,RU,Kulemin,Nikolay,LW,NYI
1986/09/07,Judique,NS,CA,CA,MacDonald,Andrew,D,PHI
1998/06/25,Nizhnekamsk,,RU,RU,Sergachev,Mikhail,D,TBL
1982/06/08,Toronto,ON,CA,CA,Cammalleri,Michael,LW,"LAK, EDM"
1983/06/03,Sault Ste. Marie,ON,CA,CA,Thorburn,Chris,RW,STL
1999/09/05,Kromeriz,,CZ,CZ,Chytil,Filip,C,NYR
1982/11/30,Repentigny,QC,CA,US,Pominville,Jason,RW,BUF
1988/04/29,Winnipeg,MB,CA,CA,Toews,Jonathan,C,CHI
1991/10/30,Korkino,,RU,RU,Panarin,Artemi,LW,CBJ
1987/04/24,Montreal,QC,CA,CA,Letang,Kris,D,PIT
1992/12/06,Ust-Kamenogorsk,,KAZ,RU,Antipin,Victor,D,BUF
1982/10/31,Kladno,,CZ,CZ,Plekanec,Tomas,C,"MTL, TOR"
1988/01/05,Drummondville,QC,CA,CA,Perreault,Mathieu,C,WPG
1990/03/13,Kingsville,ON,CA,CA,Prout,Dalton,D,NJD
1986/07/05,Nizhny Tagil,,RU,RU,Radulov,Alexander,RW,DAL
1987/05/02,Caroline,AB,CA,CA,RUsell,Kris,D,EDM
1981/12/27,Winnipeg,MB,CA,CA,Sharp,Patrick,LW,CHI
1989/12/20,Toronto,ON,CA,CA,Tanev,Christopher,D,VAN
1987/09/01,Oslo,,NO,NO,Zuccarello,Mats,RW,NYR
1992/11/22,Zhukovskiy,,RU,RU,Namestnikov,Vladislav,C,"TBL, NYR"
1986/04/28,Ostrava,,CZ,CZ,Polak,Roman,D,TOR
1991/09/25,Gävle,,SE,SE,Jarnkrok,Calle,C,NSH
1991/10/29,Skellefteå,,SE,SE,Lindberg,Oscar,C,VGK
1992/02/18,Kosice,,SK,SK,Marincin,Martin,D,TOR
1992/01/30,Tonka Bay,MN,US,US,Holl,Justin,D,TOR
1987/05/07,Edmonton,AB,CA,CA,Schlemko,David,D,MTL
1992/01/16,Newport Beach,CA,US,US,Zucker,Jason,LW,MIN
1992/04/24,Scarborough,ON,CA,CA,Toffoli,Tyler,C,LAK
1992/01/30,Ottawa,ON,CA,CA,Spooner,Ryan,C,"BOS, NYR"
1992/07/25,Lau,,SE,SE,Larsson,Johan,C,BUF
1991/10/18,Kansas City,MO,US,US,Alt,Mark,D,"PHI, COL"
1992/04/18,Ellwood City,PA,US,US,Johns,Stephen,D,DAL
1992/06/17,St. Thomas,ON,CA,CA,McKegg,Greg,C,PIT
1992/02/25,Everett,MA,US,US,Brickley,Connor,LW/C,FLA
1992/04/15,North Vancouver,BC,CA,CA,Weal,Jordan,C,PHI
1992/05/31,Shawinigan,QC,CA,CA,Bournival,Michael,LW,TBL
1994/06/06,Oulu,,FI,FI,Nutivaara,Markus,D,CBJ
1981/06/16,Grimsby,ON,CA,CA,Bieksa,Kevin,D,ANA
1992/05/19,Chelyabinsk,,RU,RU,Kuznetsov,Evgeny,C,WSH
1992/03/02,E. Weymouth,MA,US,US,Coyle,Charlie,C,MIN
1992/02/08,Stockholm,,SE,SE,Nemeth,Patrik,D,COL
1992/02/03,Oklahoma City,OK,US,US,Merrill,Jon,D,VGK
1991/11/01,Minneapolis,MN,US,US,Pitlick,Tyler,C,DAL
1984/06/26,Binscarth,MB,CA,CA,McLeod,Cody,LW,"NSH, NYR"
1991/10/15,Warroad,MN,US,US,Nelson,Brock,LW/C,NYI
1992/03/03,Edmonton,AB,CA,CA,Petrovic,Alexander,D,FLA
1992/06/14,Scarborough,ON,CA,CA,Smith-Pelly,Devante,RW,WSH
1986/12/15,Toronto,ON,CA,CA,Blunden,Mike,RW,OTT
1992/07/17,Minneapolis,MN,US,US,Bjugstad,Nick,C,FLA
1991/11/27,Gardena,CA,US,US,Bennett,Beau,RW,STL
1992/03/04,Duluth,MN,US,US,Forbort,Derek,D,LAK
1992/05/08,Dorchester,MA,US,US,Hayes,Kevin,RW/C,NYR
1991/12/05,Windsor,ON,CA,US,Fowler,Cam,D,ANA
1985/12/27,Quebec City,QC,CA,US,Stastny,Paul,C,"STL, WPG"
1992/01/13,Ann Arbor,MI,US,US,Watson,Austin,LW,NSH
1992/06/25,Wilcox,SK,CA,CA,Schwartz,Jaden,LW,STL
1987/08/07,Cole Harbour,NS,CA,CA,Crosby,Sidney,C,PIT
1991/12/07,St. Catharines,ON,CA,CA,Sheahan,Riley,C,"DET, PIT"
1987/01/13,Indianapolis,IN,US,US,Johnson,Jack,D,CBJ
1986/09/29,Alfred,ON,CA,CA,Pouliot,Benoit,LW,BUF
1990/11/29,Plzen,,CZ,CZ,Sustr,Andrej,D,TBL
1991/05/27,Walpole,MA,US,US,Wagner,Chris,C/RW,"ANA, NYI"
1987/08/24,Jesenice,,SVN,SVN,Kopitar,Anze,C,LAK
1983/04/01,Kalajoki,,FI,FI,Jokinen,Jussi,LW,"EDM, LAK, CBJ, VAN"
1983/06/23,Wawota,SK,CA,CA,Laich,Brooks,C,LAK
1992/05/16,Toronto,ON,CA,CA,Skinner,Jeff,LW,CAR
1992/06/09,Toronto,ON,CA,CA,Hyman,Zach,C,TOR
1987/02/20,Pisek,,CZ,CZ,Hanzal,Martin,C,DAL
1991/10/21,Kazan,,RU,RU,Burmistrov,Alexander,C,VAN
1982/04/03,Edmonton,AB,CA,CA,Engelland,Deryk,D,VGK
1992/01/07,Ottawa,ON,CA,CA,Gudbranson,Erik,D,VAN
1992/06/08,Winchester,MA,US,US,Sheary,Conor,LW,PIT
1992/05/02,Campbell River,BC,CA,CA,Connolly,Brett,RW,WSH
1992/07/31,Vancouver,BC,CA,CA,Johansen,Ryan,C,NSH
1986/12/23,Everett,WA,US,US,Oshie,T.J.,RW,WSH
1994/03/25,Sudbury,ON,CA,CA,Gaunce,Brendan,LW/C,VAN
1992/01/11,Sherwood Park,AB,CA,CA,Pysyk,Mark,D,FLA
1991/07/24,Middletown,NJ,US,US,van Riemsdyk,Trevor,D,CAR
1991/01/18,Oviedo,FL,US,US,Carpenter,Ryan,C,"SJS, VGK"
1992/09/08,Chur,,CH,CH,Niederreiter,Nino,RW,MIN
1991/02/09,Gothenburg,,SE,SE,Folin,Christian,D,LAK
1992/06/25,Dearborn Heights,MI,US,US,Oesterle,Jordan,D,CHI
1987/03/30,Montreal,QC,CA,CA,Vlasic,Marc-Edouard,D,SJS
1987/04/27,Thunder Bay,ON,CA,US,Chorney,Taylor,D,"WSH, CBJ"
1992/02/25,Stockholm,,SE,SE,Nordstrom,Joakim,LW,CAR
1992/04/09,Ile Bizard,QC,CA,CA,Chaput,Michael,C,VAN
1981/10/01,Stockholm,,SE,SE,Oduya,Johnny,D,"OTT, PHI"
1992/05/11,Pontiac,MI,US,US,RUt,Bryan,RW,PIT
1987/02/25,Muskegon,MI,US,US,Abdelkader,Justin,LW,DET
1986/10/12,Charlottetown,PE,CA,CA,McQuaid,Adam,D,BOS
1992/04/13,Raahe,,FI,FI,Donskoi,Joonas,RW,SJS
1992/05/06,Edmonton,AB,CA,CA,Gallagher,Brendan,RW,MTL
1986/09/09,Boston,MA,US,US,Yandle,Keith,D,FLA
1992/01/21,Landshut,,DE,DE,Kuhnhackl,Tom,RW,PIT
1992/04/07,Sodertalje,,SE,SE,Sorensen,Marcus,LW,SJS
1984/03/20,Vantaa,,FI,FI,Filppula,Valtteri,C,PHI
1987/08/08,Sicamous,BC,CA,CA,Franson,Cody,D,CHI
1987/07/02,Trebic,,CZ,CZ,Sobotka,Vladimir,LW,STL
1991/01/27,Gothenburg,,SE,SE,Heed,Tim,D,SJS
1992/04/30,Morristown,NJ,US,US,Agostino,Kenny,LW,BOS
1989/03/18,Thunder Bay,ON,CA,CA,Bortuzzo,Robert,D,STL
1994/08/10,Staten Island,NY,US,US,Aston-Reese,Zach,C,PIT
1991/11/01,Sherwood Park,AB,CA,CA,Carr,Daniel,LW,MTL
1991/12/02,Nassjo,,SE,SE,Fast,Jesper,RW,NYR
1986/10/27,St. Louis,MO,US,US,Butler,Chris,D,STL
1991/07/17,Karlskrona,,SE,SE,Ekman-Larsson,Oliver,D,ARI
1986/05/13,Charlotte,NC,US,US,Boll,Jared,RW,ANA
1987/02/14,Thunder Bay,ON,CA,CA,Pyatt,Tom,LW,OTT
1987/06/06,Eksjo,,SE,SE,Hjalmarsson,Niklas,D,ARI
1991/11/23,Kennebunkport,ME,US,US,Hathaway,Garnet,RW,CGY
1990/07/15,Island Park,NY,US,US,Bitetto,Anthony,D,NSH
1991/08/21,Taber,AB,CA,CA,Davidson,Brandon,D,"MTL, EDM, NYI"
1993/05/01,Bromont,QC,CA,CA,Gaudreau,Frederick,C,NSH
1995/02/06,Excelsior,MN,US,US,Lettieri,Vinni,C,NYR
1972/02/15,Kladno,,CZ,CZ,Jagr,Jaromir,RW,CGY
1990/07/18,Lycksele,,SE,SE,Karlsson,Melker,C,SJS
1992/01/01,Toronto,ON,CA,CA,Hamilton,Freddie,C,"CGY, ARI"
1992/03/06,Kingsford,MI,US,US,Gravel,Kevin,D,LAK
1998/09/29,Spokane,WA,US,US,Yamamoto,Kailer,RW,EDM
1985/03/06,Le Blanc-Mesnil,,FR,FR,Bellemare,Pierre-Edouard,LW,VGK
1992/09/01,Pardubice,,CZ,CZ,Nosek,Tomas,LW,VGK
1996/02/07,Windsor,ON,CA,CA,Ekblad,Aaron,D,FLA
1995/11/06,West Vancouver,BC,CA,CA,Reinhart,Sam,C,BUF
1995/10/27,Cologne,,DE,DE,Draisaitl,Leon,C,EDM
1996/06/20,Holland Landing,ON,CA,CA,Bennett,Sam,C,CGY
1996/06/20,Richmond Hill,ON,CA,CA,Dal Colle,Michael,LW,NYI
1996/08/17,New Westminster,BC,CA,CA,Virtanen,Jake,RW,VAN
1996/07/08,Carlyle,SK,CA,CA,Fleury,Haydn,D,CAR
1996/05/01,Calgary,AB,CA,SE,Nylander,William,C,TOR
1996/02/14,Aalborg,,DK,DK,Ehlers,Nikolaj,LW,WPG
1995/12/05,Orangeville,ON,CA,CA,Ritchie,Nick,LW,ANA
1996/07/22,St. Gallen,,CH,CH,Fiala,Kevin,LW,NSH
1996/04/27,Guildford,,GB,GB,Perlini,Brendan,LW,ARI
1996/02/28,Prague,,CZ,CZ,Vrana,Jakub,LW,WSH
1995/12/03,Jyväskylä,,FI,FI,Honka,Julius,D,DAL
1996/07/30,Waterford,MI,US,US,Larkin,Dylan,C,DET
1996/05/12,Massapequa,NY,US,US,Milano,Sonny,LW,CBJ
1987/07/24,Oxford,MI,US,US,Gerbe,Nathan,LW/C,CBJ
1996/05/10,Syracuse,NY,US,US,Tuch,Alex,RW,VGK
1990/08/26,Carmel,IN,US,US,Trotman,Zach,D,PIT
1998/11/22,Eden Prairie,MN,US,US,Mittelstadt,Casey,C,BUF
1996/07/23,Kuopio,,FI,FI,Kapanen,Kasperi,RW,TOR
1992/08/14,Gothenburg,,SE,SE,Klingberg,John,D,DAL
1986/09/30,Toronto,ON,CA,CA,O'Reilly,Cal,C,MIN
1996/05/25,Havirov,,CZ,CZ,Pastrnak,David,RW,BOS
1995/12/30,Moscow,,RU,RU,Scherbak,Nikita,RW,MTL
1995/10/07,Moscow,,RU,RU,Goldobin,Nikolay,RW,VAN
1996/01/22,Toronto,ON,CA,CA,Ho-Sang,Joshua,RW,NYI
1996/09/13,Kramfors,,SE,SE,Kempe,Adrian,LW,LAK
1996/04/16,Edmonton,AB,CA,CA,Quenneville,John,C,NJD
1996/03/15,Denver,CO,US,US,Lemieux,Brendan,LW,WPG
1995/12/14,Moscow,,RU,RU,Barbashev,Ivan,C,STL
1999/02/16,Peterborough,ON,CA,CA,Tippett,Owen,RW,FLA
1996/05/08,Skellefteå,,SE,SE,Pettersson,Marcus,D,ANA
1996/01/21,Stockholm,,SE,SE,Englund,Andreas,D,OTT
1996/08/12,Orsk,,RU,RU,Kamenev,Vladislav,C,COL
1996/01/20,Listowel,ON,CA,CA,McKeown,Roland,D,CAR
1994/02/07,Cardiff,,GB,AU,Walker,Nathan,LW,"WSH, EDM"
1994/04/11,Brantford,ON,CA,CA,Montour,Brandon,D,ANA
1996/04/09,Boston,MA,US,US,Donato,Ryan,C,BOS
1996/02/02,Palos,IL,US,US,Dvorak,Christian,C,ARI
1999/01/15,Nove Mesto na Morave,,CZ,CZ,Necas,Martin,C,CAR
1996/02/25,Pointe-Claire,QC,CA,CA,Turgeon,Dominic,C,DET
1991/08/28,Cadca,,SK,SK,Hrivik,Marek,LW,CGY
1996/04/01,Markham,ON,CA,CA,Foegele,Warren,LW,CAR
1995/09/24,Winnipeg,MB,CA,CA,Lernout,Brett,D,MTL
1985/02/04,Elk Point,AB,CA,CA,Letestu,Mark,C,"EDM, CBJ"
1996/05/14,Skokie,IL,US,US,Belpedio,Louie,D,MIN
1986/08/01,Tibro,,SE,SE,Stralman,Anton,D,TBL
1996/05/13,Sault Ste. Marie,ON,CA,CA,Amadio,Michael,C,LAK
1989/11/21,Roubaix,,FR,FR,Roussel,Antoine,LW,DAL
1998/10/13,Smogen,,SE,SE,Andersson,Lias,C,NYR
1995/09/05,Umea,,SE,SE,Wallmark,Lucas,C,CAR
1984/02/20,Concord,NH,US,US,Lovejoy,Ben,D,NJD
1988/12/11,Abington,PA,US,US,Burgdoerfer,Erik,D,OTT
1987/01/01,Sollentuna,,SE,SE,Hornqvist,Patric,RW,PIT
1993/11/30,Lakeville,MN,US,US,Kloos,Justin,C,MIN
1993/04/08,Skellefteå,,SE,SE,Arvidsson,Viktor,LW,NSH
1995/07/05,Langley,BC,CA,CA,Heinen,Danton,C,BOS
1998/09/19,Winnipeg,MB,CA,CA,Patrick,Nolan,C,PHI
1996/06/12,Linkoping,,SE,SE,Forsling,Gustav,D,CHI
1991/07/26,Victoria,BC,CA,CA,Barrie,Tyson,D,COL
1993/12/21,Eden,NY,US,US,Iafallo,Alex,C,LAK
1996/08/15,Gävle,,SE,SE,Lindblom,Oskar,LW,PHI
1992/07/29,Thornhill,ON,CA,CA,Crescenzi,Andrew,C,LAK
1990/07/03,Vasteras,,SE,SE,Rasmussen,Dennis,C,ANA
1994/11/29,Skellefteå,,SE,SE,Lindholm,Anton,D,COL
1996/08/05,Mequon,WI,US,US,Bjork,Anders,LW,BOS
1998/03/02,Calgary,AB,CA,CA,Nylander,Alexander,RW,BUF
1989/09/14,Halifax,NS,CA,CA,Killorn,Alex,LW,TBL
1988/09/24,Burnaby,BC,CA,CA,Alzner,Karl,D,MTL
1988/10/11,Snowflake,MB,CA,CA,Falk,Justin,D,BUF
1989/07/18,Victoria,BC,CA,CA,Benn,Jamie,LW,DAL
1991/05/12,Pilsen,,CZ,CZ,Jerabek,Jakub,D,"MTL, WSH"
1995/01/12,Chomutov,,CZ,CZ,Kampf,David,C,CHI
1995/07/29,Hermantown,MN,US,US,Pionk,Neal,D,NYR
1991/10/07,Ljunby,,SE,SE,Fantenberg,Oscar,D,LAK
1984/04/29,Welland,ON,CA,CA,Girardi,Dan,D,TBL
1996/06/17,Montmagny,QC,CA,CA,Blais,Sammy,LW,STL
1988/04/20,Hartford,CT,US,US,Bonino,Nick,C,NSH
1995/06/01,Aurora,ON,CA,CA,Sikura,Dylan,RW,CHI
1989/02/21,Ann Arbor,MI,US,US,Cole,Ian,D,"PIT, CBJ"
1995/06/18,Stockholm,,SE,SE,Borgman,Andreas,D,TOR
1989/02/20,Toronto,ON,CA,CA,DiDomenico,Christopher,LW,OTT
1991/12/08,Stockholm,,SE,SE,Holm,Philip,D,VAN
1994/02/28,Lempaala,,FI,FI,Haapala,Henrik,LW,FLA
1989/01/29,Maplewood,MN,US,US,O'Brien,Jim,C,OTT
1987/02/10,Minneapolis,MN,US,US,Braun,Justin,D,SJS
1990/07/29,Písek,,CZ,CZ,Rutta,Jan,D,CHI
1987/01/21,St. Andrews,MB,CA,CA,Helm,Darren,LW,DET
1989/01/29,New Rochelle,NY,US,US,Shattenkirk,Kevin,D,NYR
1995/08/03,Langley,BC,CA,CA,Theodore,Shea,D,VGK
1992/05/05,Southampton,NJ,US,US,Criscuolo,Kyle,C,BUF
1988/04/23,St. Louis,MO,US,US,Maroon,Patrick,LW,"EDM, NJD"
1995/11/08,Kadan,,CZ,CZ,Kase,Ondrej,RW,ANA
1989/05/04,Middletown,NJ,US,US,van Riemsdyk,James,LW,TOR
1989/04/27,Ottawa,ON,CA,CA,Byron,Paul,LW,MTL
1989/08/10,London,ON,CA,CA,Gagner,Sam,C,VAN
1996/02/27,Halifax,NS,CA,CA,Highmore,Matthew,LW/C,CHI
1989/03/28,Guelph,ON,CA,CA,Couture,Logan,C,SJS
1989/05/13,Toronto,ON,CA,CA,Subban,P.K.,D,NSH
1994/07/01,Keswick,ON,CA,CA,Tierney,Chris,C,SJS
1989/04/18,North York,ON,CA,CA,Peluso,Anthony,RW,WSH
1989/05/09,Consort,AB,CA,CA,Nash,Riley,C,BOS
1989/02/08,Calgary,AB,CA,CA,Hickey,Thomas,D,NYI
1987/12/09,Ann Arbor,MI,US,US,Petry,Jeff,D,MTL
1989/08/14,New Westminster,BC,CA,CA,Turris,Kyle,C,"OTT, NSH"
1990/07/16,Albany,NY,US,US,Lashoff,Brian,D,DET
1989/02/22,Red Deer,AB,CA,CA,Postma,Paul,D,BOS
1996/02/17,Umea,,SE,SE,Aho,Sebastian,D,NYI
1996/05/04,Kamloops,BC,CA,CA,Hicketts,Joe,D,DET
1989/05/20,Miramichi,NB,CA,CA,Malone,Brad,C,EDM
1989/02/08,Mimico,ON,CA,CA,Smith,Brendan,D,NYR
1989/02/14,Huntington,NY,US,CA,Sutter,Brandon,C,VAN
1990/05/24,Borlange,,SE,SE,Ekholm,Mattias,D,NSH
1989/04/20,Red Deer,AB,CA,CA,Sceviour,Colton,RW/C,FLA
1995/10/24,Sewell,NJ,US,US,DeAngelo,Tony,D,NYR
1988/05/28,Sherbrooke,QC,CA,CA,Perron,David,LW,VGK
1997/12/04,Chesterfield,MO,US,US,Kunin,Luke,C,MIN
1996/02/23,Madison,WI,US,US,Schmaltz,Nick,LW/C,CHI
1980/11/11,Toronto,ON,CA,CA,Kelly,Chris,C,ANA
1995/11/24,Cranbrook,BC,CA,CA,Hunt,Dryden,LW,FLA
1991/06/03,Jyväskylä,,FI,FI,Vatanen,Sami,D,"ANA, NJD"
1988/06/04,Edmonton,AB,CA,CA,Fedun,Taylor,D,BUF
1986/11/09,Orebro,,SE,SE,Gunnarsson,Carl,D,STL
1986/06/14,Ilderton,ON,CA,CA,Read,Matt,RW,PHI
1988/09/19,Kramfors,,SE,SE,Kempe,Mario,RW,ARI
1988/09/23,Morges,,CH,CH,Weber,Yannick,D,NSH
1984/06/16,Brampton,ON,CA,CA,Nash,Rick,LW,"NYR, BOS"
1988/11/19,Buffalo,NY,US,US,Kane,Patrick,RW,CHI
1987/11/15,Los Angeles,CA,US,US,Miller,Kevan,D,BOS
1981/06/11,Sudbury,ON,CA,CA,MacKenzie,Derek,C,FLA
1989/12/14,Burlington,ON,CA,CA,Conacher,Cory,LW/C,TBL
1989/03/12,Chelyabinsk,,RU,RU,Dadonov,Evgenii,RW,FLA
1989/03/17,Vasteras,,SE,SE,Backlund,Mikael,C,CGY
1989/06/13,St. Paul,MN,US,US,McDonagh,Ryan,D,"NYR, TBL"
1988/11/20,New Canaan,CT,US,US,Pacioretty,Max,LW,MTL
1988/02/26,Braintree,MA,US,US,Gibbons,Brian,LW,NJD
1989/08/15,Kladno,,CZ,CZ,Voracek,Jakub,RW,PHI
1989/02/21,Woodstock,ON,CA,CA,Muzzin,Jake,D,LAK
1987/07/26,Rochester Hills,MI,US,US,Martinez,Alec,D,LAK
1992/05/13,Winnipeg,MB,CA,CA,Stone,Mark,RW,OTT
1994/02/14,Calgary,AB,CA,CA,Rodewald,Jack,RW,OTT
1988/08/23,Sodertalje,,SE,SE,Hagelin,Carl,LW,PIT
1994/05/19,St. Albert,AB,CA,CA,Foo,Spencer,RW,CGY
1989/05/08,Rodovre,,DK,DK,Eller,Lars,C,WSH
1988/08/26,Scarborough,ON,CA,CA,Simmonds,Wayne,RW,PHI
1983/10/07,Fort McMurray,AB,CA,CA,Upshall,Scottie,RW,STL
1983/10/09,Toronto,ON,CA,CA,Daley,Trevor,D,DET
1987/05/15,St. Albert,AB,CA,CA,Holden,Nick,D,"NYR, BOS"
1990/10/06,London,ON,CA,CA,Kadri,Nazem,C,TOR
1997/08/13,Mississauga,ON,CA,CA,Capobianco,Kyle,D,ARI
1990/12/18,Ornskoldsvik,,SE,SE,Hedman,Victor,D,TBL
1988/06/09,Dorval,QC,CA,CA,Demers,Jason,D,ARI
1980/10/09,Njurunda,,SE,SE,Zetterberg,Henrik,LW/C,DET
1988/06/02,Västerås,,SE,SE,Berglund,Patrik,C,STL
1986/03/30,Guelph,ON,CA,CA,Haley,Micheal,LW/C,FLA
1993/03/07,New Lenox,IL,US,US,Broadhurst,Alex,C,CBJ
1993/04/27,Petawawa,ON,CA,CA,Peca,Matthew,C,TBL
1984/04/24,Herning,,DK,DK,Nielsen,Frans,C,DET
1991/03/28,Frydek-Mistek,,CZ,CZ,Palat,Ondrej,LW,TBL
1992/04/24,Oakville,ON,CA,CA,Wilson,Scott,C,"PIT, DET, BUF"
1983/09/27,Edmonton,AB,CA,CA,Bouwmeester,Jay,D,STL
1988/04/05,Maple Creek,SK,CA,CA,Smith,Zack,LW,OTT
1995/07/17,Windsor,ON,CA,CA,Murphy,Trevor,D,ARI
1993/03/26,Toronto,ON,CA,CA,Corrado,Frank,D,PIT
1993/07/06,Massapequa,NY,US,US,O'Gara,Rob,D,"BOS, NYR"
1983/12/19,Mississauga,ON,CA,CA,Stajan,Matt,C,CGY
1993/02/25,Ceské Budejovice,,CZ,CZ,Sedlak,Lukas,LW/C,CBJ
1991/10/07,Hinsdale,IL,US,CA,Manson,Josh,D,ANA
1994/12/12,Drummondville,QC,CA,CA,Martel,Danick,LW,PHI
1994/03/14,East Longmeadow,MA,US,US,Vatrano,Frank,C,"BOS, FLA"
1992/02/02,Fullerton,CA,US,US,Balisy,Chase,C,FLA
1992/05/01,De Pere,WI,US,US,McCormick,Max,LW,OTT
1993/10/14,Nizhny Tagil,,RU,RU,Soshnikov,Nikita,RW,"TOR, STL"
1992/10/06,Regina,SK,CA,CA,Archibald,Josh,RW,"PIT, ARI"
1998/03/31,Boca Raton,FL,US,US,Chychrun,Jakob,D,ARI
